id,articulo,clase
44,Evo Morales descarta reformar la Constitución para incluir la reelección indefinida El presidente boliviano Evo Morales descartó ayer que proyecte reformar la Constitución para incorporar la reelección indefinida y  durante una entrevista con medios internacionales  dijo que no habrá por ahora más nacionalizaciones de empresas.Horas después de un rotundo triunfo en las elecciones presidenciales del domingo que le abrieron las puertas a un tercer mandato consecutivo (2015-2020)  el mandatario boliviano se refirió durante una entrevista con AFP  BBC y Financial Times  a algunos de los asuntos que serán parte de su nueva gestión.Morales  de 54 años  el primer presidente indígena de Bolivia  en el poder desde 2006  obtiene el 53 8% de los votos  seguido del empresario centrista Samuel Doria Medina  con el 30 07%  según el 49 93% del cómputo oficial.Según sondeos extraoficiales al 100% en boca de urna  Morales obtuvo más del 60% de los votos  seguido a gran distancia por Doria Medina (24%).El gran caudal de votos que obtuvo Morales le aseguró además el control del Congr...,no
45,El 60 % de latinoamericanos considera que inseguridad se incrementó en 5 años El 60 % de los ciudadanos latinoamericanos considera que la inseguridad se incrementó en la región en los últimos cinco años  según el Reporte de Economía y Desarrollo (RED 2014) del CAF-Banco de Desarrollo de América Latina  difundido ayer en Lima.La CAF convocó ayer a especialistas para presentar el RED 2014  titulado "Por una América Latina más segura: una perspectiva para prevenir y controlar el delito"  una publicación que propone un enfoque integral para planear  diseñar e implementar intervenciones efectivas para combatir el crimen en la región  señaló el organismo.El reporte remarcó que la seguridad es un "factor determinante" del bienestar de los ciudadanos de América Latina y que el 24 % de las familias de la región identifica a la inseguridad como el principal problema que afecta su calidad de vida  por encima del desempleo  la inflación o los servicios básicos.El informe propone un enfoque donde la ocurrencia del crimen surge de la interacción de dos elementos: individuo...,no
46,Ataques frenan el avance en Kobane Estados Unidos afirmó ayer martes que la progresión del grupo Estado Islámico (EI) en la ciudad kurdosiria de Kobane ha sido frenada gracias a 21 bombardeos en 48 horas  mientras que en Washington se celebró una reunión de la coalición antiyihadista. Dos meses después del inicio de los ataques en Irak y tres semanas después de que empezaran los ataques aéreos en Siria  la Casa Blanca aseguró que la estrategia global contra el EI “funciona” y recordó que es “un esfuerzo a largo plazo”. El EI ocupa la mitad de Kobane  en la frontera con Turquía  escenario desde hace días de una lucha feroz y clave para los kurdos  que quieren preservar su autonomía de combate en Siria.“Los intensos bombardeos contra objetivos precisos del EI han obstaculizado el avance yihadista” aseguró el director del Observatorio Sirio de Derechos Humanos (OSDH)  Rami Abdel Rahman  que señaló que prosiguen violentos combates en el centro de la ciudad. Los kurdos han conseguido  desde sus posiciones en el este  nort...,no
47,Bogotá restringe entrega de visas Colombia está negando la visa para las personas que de cualquier nacionalidad que hayan visitado durante las últimas cuatro semanas los países más afectados por el ébola de acuerdo con los reportes mundiales.Según confirmaron fuentes de la Cancillería a Radio Cadena Caracol (RCC)  se trata de viajeros que en este periodo de tiempo hayan visitado la zona de principal afectación  en países como Sierra Leona  Liberia  Guinea Conakry y Nigeria  a quienes se le niega su solicitud de visa  por razones de interés nacional.La decisión la tomó la Cancillería por recomendación del Instituto Nacional de Salud  para prevenir que este virus ingrese al país.En materia migratoria de visas  en los consulados afirman que se vienen adelantando cuestionarios epidemiológicos diseñados por el Ministerio de Salud  donde se establecen bases para definir si el extranjero representa un riesgo  y por consiguiente se le niega la visa para el país.Sin embargo  teniendo en cuenta que existen ciudadanos de 92 na...,no
48,EEUU toma medidas contra virus respiratorio Durante más de dos meses  las autoridades sanitarias han estado tratando de entender el amplio contagio de un virus respiratorio que ha afectado a niños. Esta semana  el tamaño del problema aumentará  pero ello se debe a que han creado una nueva prueba para poder detectar casos que han permanecido invisibles. A partir de ayer  los Centros para el Control y Prevención de Enfermedades usa la nueva prueba  que le permitirá examinar cuatro o cinco veces la cantidad de especímenes que ha estado examinando.      Se trata de una prueba simple para detectar el enterovirus 68  que desde agosto ha sido señalada como la responsable de un mal respiratorio parecido al asma que está afectando a niños. Algunos casos han sido tan graves que los enfermos han requerido de la ayuda de una máquina para respirar. Se sospecha que el virus fue el responsable de por lo menos seis muertes.      La nueva prueba reemplazará a otra que es capaz de detectar una amplia cantidad de virus  pero que se demora más. ...,no
49,México descarta que estudiantes desaparecidos estén entre 28 cadáveres de fosas El misterio sobre el destino de los 43 estudiantes desaparecidos en México desde un ataque de policías y sicarios se profundizó ayer al asegurar las autoridades que no se encuentran entre los primeros 28 cadáveres hallados en fosas comunes.Las autoridades temían que entre esos restos estuvieran algunos de los jóvenes desaparecidos el 26 de septiembre en Iguala (sur) por declaraciones de dos integrantes del cártel local Guerreros Unidos  que habrían asegurado que en ese lugar asesinaron a 17 de los estudiantes.Pero tras diez días de peritajes a esos restos calcinados "les puedo decir que no corresponden a los ADN que los familiares de estos jóvenes" proporcionaron  anunció el fiscal general  Jesús Murillo Karam  en una conferencia de prensa.Otras fosas han sido encontradas posteriormente con un número no determinado de cuerpos que siguen siendo analizados.Sin embargo  Murillo Karam recalcó que unos 900 policías federales se mantienen en la zona para dar con estos jóvenes que por ahor...,no
50,Jefe de la ONU de visita por Israel El secretario general de las Naciones Unidas  Ban Kimoon  exigió ayer lunes el cese de las “provocaciones” en la explanada de las Mezquitas y tiró una nueva piedra al jardín del primer ministro israelí durante una visita en la que fueron evidentes las crispaciones.En su primera visita a Cisjordania e Israel desde la guerra en la Franja de Gaza  que exacerbó las tensiones entre Israel y las Naciones Unidas  Ban no se quedó en condenar de nuevo “con firmeza la continuación de las actividades de colonización de Israel”.En un tono desacostumbrado  se mostró “profundamente inquieto por las repetidas provocaciones en los lugares santos de Jerusalén.No hacen más que avivar las tensiones y deben cesar”.Ban no mencionó expresamente a Israel ni evocó explícitamente la explanada de las Mezquitas  lugar extremadamente sensible venerado a la vez por musulmanes y judíos y de nuevo escenario este mismo lunes de choques entre jóvenes palestinos y policías israelíes.Por la tarde  Benjamin Netanyahu ...,no
51,Presos amotinados en Brasil mantienen nueve rehenes durante más de 44 horas Un grupo de presos amotinados desde el lunes mantiene aún como rehenes a nueve personas en una cárcel del estado brasileño de Paraná  donde funcionarios civiles y policías continúan la negociación para poner fin al motín  que dura ya más de 44 horas.Los presos levantados están en un tejado de la cárcel de Guarapuava y tienen retenidos a dos agentes penitenciarios y siete presos  informó la Secretaría de Justicia  Ciudadanía y Derechos Humanos (Seju) de Paraná.Según mostraron las cámaras de televisión  los rehenes fueron agredidos en numerosas ocasiones por los reclusos e incluso llegaron a amenazar a quemar a uno de ellos.Desde el inicio de la rebelión  el pasado lunes  cuatro agentes penitenciarios fueron liberados y uno de ellos tuvo que ser hospitalizado después de sufrir quemaduras.Los presos demandan una mejora de sus condiciones en el presidio  la transferencia a otras cárceles del país  así como la garantía de que no sufrirán represalias tras el motín.Desde el inicio del año ...,no
37,Obama pide a líderes del mundo luchar contra ébola El presidente de EE.UU.  Barack Obama  urgió ayer a los líderes europeos a comprometerse más en la lucha global contra el ébola para frenar la propagación de la enfermedad  durante una videoconferencia con los mandatarios de Alemania  Francia  Italia y el Reino Unido.La videoconferencia fue cerrada a la prensa y en ella se habló también de los esfuerzos de la coalición internacional liderada por EEUU para combatir al grupo yihadista Estado Islámico (EI) en Irak y Siria  y de la situación en Ucrania  aunque el ébola fue el gran protagonista.El “impacto” del brote de ébola en África Occidental es “trágico” y  por ello  Obama cree que todos los países deben hacer contribuciones “más significativas” para frenar el avance de la enfermedad  según detalló el portavoz de la Casa Blanca  Josh Earnest  al informar de la videoconferencia.Earnest apuntó que el propio Obama está muy concienciado de la “urgencia” de actuar rápido para detener la propagación del virus  que está golpeando especialm...,no
38,Opositor Neves mantiene leve ventaja sobre Rousseff El candidato opositor a la presidencia de Brasil  el socialdemócrata Aecio Neves  mantiene una ventaja de dos puntos porcentuales sobre la mandataria Dilma Rousseff en dos encuestas de intención de voto para el balotaje del 26 de octubre  divulgadas ayer.La firma Datafolha y el Instituto Ibope mostraron a Neves (PSDB) al frente con el 45% de la intención de voto  un punto porcentual menos que en el sondeo del 9 de octubre  mientras que Rousseff  candidata del Partido de los Trabajadores (PT  izquierda)  registró el 43%  también un punto porcentual menos que en la encuesta anterior.Con el margen de error de dos puntos  se considera que ambos candidatos están técnicamente empatados. Los votos blancos o nulos se ubican en 6% y 7% en Datafolha e Ibope respectivamente  mientras que los indecisos se ubicaron en 6% y 4%.La encuesta Datafolha fue realizada entre el martes y miércoles  el día y el día después del debate televisivo entre Rousseff y Neves con miras a la segunda vuelta.Ese deb...,no
39,México amplía búsqueda de estudiantes Las autoridades mexicanas comenzaron a enviar policías a caballo y perros a la zona serrana de las inmediaciones de la ciudad de Iguala para colaborar en la búsqueda de los 43 estudiantes desaparecidos  luego de que se notificó que los restos encontrados en las primeras fosas clandestinas halladas en la zona no correspondían a ninguno de los alumnos.También se analizan los restos contenidos en otro grupo de fosas también halladas en Iguala  a unos 200 kilómetros al sur de la ciudad de México y donde desaparecieron los jóvenes después de ser detenidos por policías municipales y entregados a un cártel de las drogas.      Las tareas para intentar dar con el paradero de los estudiantes en una zona rural controlada por el narcotráfico podrían develar aún más horrores.      A medida que avanza la búsqueda se han localizado más fosas que podrían contener muchos más cuerpos que el número de alumnos desaparecidos.      Cuando el gobierno descartó que entre los 28 cuerpos encontrados en las c...,no
40,Maduro señala a paramilitar colombiano como autor intelectual de asesinato de diputado El presidente de Venezuela  Nicolás Maduro  aseguró ayer que un paramilitar colombiano  que no identificó  sería uno de los autores intelectuales del asesinato del diputado oficialista Robert Serra y anunció que pedirá a Interpol la captura de otro de los autores materiales."Un paramilitar colombiano dirigió todo el proceso de preparación del crimen de manera meticulosa. Utilizó una banda dirigida por otro maleante  asesino  de apellido Padilla Leiva  conocido como alias 'el Colombia'"  dijo Maduro en rueda de prensa desde el palacio de Miraflores.El mandatario informó que solicitará código rojo (búsqueda inmediata) de Interpol para la captura de este implicado  de quien dijo conocer sus movimientos  aunque precisó que no ha sido identificado "legalmente"."Éste es un asesinato que se preparó durante algo más de tres meses"  agregó.El presidente afirmó que las autoridades buscarían a los autores intelectuales  no identificados  "tengan el apellido que tengan".Maduro  que en días prev...,no
41,Polémica por documento del sínodo vaticano Es uno de los misterios más grandes de la reunión sobre la vida familiar que se realiza a puertas cerradas en el Vaticano esta semana: ¿De dónde sacaron los redactores del borrador de un informe el lenguaje vanguardista que dice que los homosexuales tienen cualidades qué ofrecer a la Iglesia y que incluso las parejas de personas del mismo sexo tienen méritos?Según se dice a nivel oficial  el informe preliminar fue una síntesis de las intervenciones de más de 200 obispos  un punto de partida para pequeños grupos de trabajo que deben proponer enmiendas  adiciones y sustracciones al comité que prepara un informe final que será dado a conocer el sábado.      Pero cardenales conservadores han dicho que sus puntos de vista no se vieron reflejados en el borrador  lo criticaron como "inaceptable" y señalaron que le urgía ser corregido.      El cardenal estadounidense Timothy Dolan dijo que su compatriota  el cardenal de línea dura Raymond Burke  reflejó el punto de vista de "múltiples perso...,no
